time,Direction,Lead_hours,Source_time,Speed
2024-03-11 12:00:00+00:00,SE,1,1710151200,8.9408
2024-03-11 15:00:00+00:00,SE,1,1710162000,9.83488
2024-03-11 18:00:00+00:00,SE,1,1710172800,9.83488
2024-03-11 21:00:00+00:00,SE,1,1710183600,8.9408
2024-03-12 00:00:00+00:00,SSE,1,1710194400,8.04672
2024-03-12 03:00:00+00:00,SE,1,1710205200,8.9408
2024-03-12 06:00:00+00:00,SE,1,1710216000,8.9408
2024-03-12 09:00:00+00:00,SSE,1,1710226800,4.91744
2024-03-12 12:00:00+00:00,SSE,1,1710237600,4.02336
2024-03-12 15:00:00+00:00,SSE,1,1710248400,7.15264
2024-03-12 18:00:00+00:00,SSE,1,1710259200,8.9408
2024-03-12 21:00:00+00:00,SSE,1,1710270000,9.83488
2024-03-13 00:00:00+00:00,SSE,1,1710280800,12.070079999999999
2024-03-13 03:00:00+00:00,SSE,1,1710291600,9.83488
2024-03-13 06:00:00+00:00,S,1,1710302400,9.83488
2024-03-13 09:00:00+00:00,SW,1,1710313200,12.070079999999999
2024-03-13 12:00:00+00:00,SW,1,1710324000,15.19936
2024-03-13 15:00:00+00:00,SSW,1,1710334800,15.19936
2024-03-13 18:00:00+00:00,SW,1,1710345600,19.22272
2024-03-13 21:00:00+00:00,SW,1,1710356400,13.85824
2024-03-14 00:00:00+00:00,WSW,1,1710367200,15.19936
2024-03-14 03:00:00+00:00,WSW,1,1710378000,13.85824
2024-03-14 06:00:00+00:00,WSW,1,1710388800,12.96416
2024-03-14 09:00:00+00:00,WSW,1,1710399600,9.83488
2024-03-14 12:00:00+00:00,WNW,1,1710410400,8.04672
2024-03-14 15:00:00+00:00,NNW,1,1710421200,4.02336
2024-03-14 18:00:00+00:00,NNE,1,1710432000,4.91744
2024-03-14 21:00:00+00:00,NE,1,1710442800,7.15264
2024-03-15 00:00:00+00:00,ENE,1,1710453600,8.04672
2024-03-15 03:00:00+00:00,NE,1,1710464400,7.15264
2024-03-15 06:00:00+00:00,NE,1,1710475200,9.83488
2024-03-15 09:00:00+00:00,NNE,1,1710486000,8.9408
2024-03-15 12:00:00+00:00,N,1,1710496800,11.176
2024-03-15 15:00:00+00:00,NNW,1,1710507600,5.81152
2024-03-15 18:00:00+00:00,N,1,1710518400,11.176
2024-03-15 21:00:00+00:00,NNW,1,1710529200,9.83488
2024-03-16 00:00:00+00:00,NNW,1,1710540000,9.83488
2024-03-16 03:00:00+00:00,NNW,1,1710550800,5.81152
2024-03-16 06:00:00+00:00,N,1,1710561600,8.04672
2024-03-16 09:00:00+00:00,NNE,1,1710572400,4.02336
2024-03-16 12:00:00+00:00,E,1,1710583200,3.12928
2024-03-16 15:00:00+00:00,SE,1,1710594000,7.15264
2024-03-16 18:00:00+00:00,SE,1,1710604800,11.176
2024-03-16 21:00:00+00:00,SE,1,1710615600,12.96416
2024-03-17 00:00:00+00:00,SSE,1,1710626400,15.19936
2024-03-17 03:00:00+00:00,SE,1,1710637200,16.09344
2024-03-17 06:00:00+00:00,SSE,1,1710648000,15.19936
2024-03-17 09:00:00+00:00,SSE,1,1710658800,11.176
2024-03-17 12:00:00+00:00,SSE,1,1710669600,9.83488
2024-03-17 15:00:00+00:00,SSE,1,1710680400,8.04672
2024-03-17 18:00:00+00:00,SE,1,1710691200,8.9408
2024-03-17 21:00:00+00:00,SE,1,1710702000,8.9408
2024-03-18 00:00:00+00:00,SSE,1,1710712800,8.9408
2024-03-18 03:00:00+00:00,SSE,1,1710723600,7.15264
2024-03-18 06:00:00+00:00,SSE,1,1710734400,4.91744
2024-03-18 09:00:00+00:00,S,1,1710745200,3.12928
2024-03-18 12:00:00+00:00,SSW,1,1710756000,4.91744
2024-03-18 15:00:00+00:00,SSE,1,1710766800,5.81152
2024-03-18 18:00:00+00:00,SSE,1,1710777600,8.9408
2024-03-18 21:00:00+00:00,S,1,1710788400,9.83488
2024-03-19 00:00:00+00:00,SSE,1,1710799200,13.85824
2024-03-19 03:00:00+00:00,SSE,1,1710810000,12.96416
2024-03-19 06:00:00+00:00,S,1,1710820800,8.9408
2024-03-19 09:00:00+00:00,W,1,1710831600,9.83488
2024-03-19 12:00:00+00:00,WNW,1,1710842400,12.070079999999999
2024-03-19 15:00:00+00:00,WNW,1,1710853200,11.176
2024-03-19 18:00:00+00:00,WNW,1,1710864000,8.9408
2024-03-19 21:00:00+00:00,WNW,1,1710874800,7.15264
2024-03-20 00:00:00+00:00,WSW,1,1710885600,3.12928
2024-03-20 03:00:00+00:00,WSW,1,1710896400,4.02336
2024-03-20 06:00:00+00:00,WNW,1,1710907200,4.91744
2024-03-20 09:00:00+00:00,W,1,1710918000,4.02336
2024-03-20 12:00:00+00:00,W,1,1710928800,4.91744
2024-03-20 15:00:00+00:00,WSW,1,1710939600,3.12928
2024-03-20 18:00:00+00:00,SSW,1,1710950400,1.78816
2024-03-20 21:00:00+00:00,S,1,1710961200,5.81152
2024-03-21 00:00:00+00:00,SSE,1,1710972000,9.83488
2024-03-21 03:00:00+00:00,S,1,1710982800,11.176
2024-03-21 06:00:00+00:00,S,1,1710993600,12.96416
2024-03-21 09:00:00+00:00,SSW,1,1711004400,13.85824
2024-03-21 12:00:00+00:00,SW,1,1711015200,15.19936
2024-03-21 15:00:00+00:00,WSW,1,1711026000,16.98752
